date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank,home_market_value,away_market_value
2023-11-16,Gabon,Kenya,2,1,World Cup qualifier,Gabon,1426,1341,97,120,34450000.0,10930000.0
2023-11-16,Thailand,China,1,2,World Cup & As Cup q,Thailand,1365,1481,114,87,6380000.0,12480000.0
2023-11-16,Turkmenistan,Uzbekistan,1,3,World Cup & As Cup q,Turkmenistan,1226,1635,155,51,2950000.0,79280000.0
2023-11-16,Malaysia,Kyrgyzstan,4,3,World Cup & As Cup q,Malaysia,1295,1225,140,156,7130000.0,7580000.0
2023-11-16,Oman,Taiwan,3,0,World Cup & As Cup q,Oman,1576,932,64,194,6100000.0,1920000.0
2023-11-16,Philippines,Vietnam,0,2,World Cup & As Cup q,the Philippines,1045,1407,183,102,6430000.0,6380000.0
2023-11-16,Qatar,Afghanistan,8,1,World Cup & As Cup q,Qatar,1511,1090,77,175,17930000.0,325000.0
2023-11-16,Kuwait,India,0,1,World Cup & As Cup q,Kuwait,1357,1285,116,147,4350000.0,4800000.0
2023-11-16,Saudi Arabia,Pakistan,4,0,World Cup & As Cup q,Saudi Arabia,1547,837,70,207,27630000.0,3440000.0
2023-11-16,South Korea,Singapore,5,0,World Cup & As Cup q,South Korea,1782,1137,27,167,142200000.0,4380000.0
2023-11-16,Syria,North Korea,1,0,World Cup & As Cup q,Saudi Arabia,1431,1360,96,115,7200000.0,6850000.0
2023-11-16,Tajikistan,Jordan,1,1,World Cup & As Cup q,Tajikistan,1369,1555,111,67,7700000.0,16079999.0
2023-11-17,Honduras,Mexico,2,0,CONCACAF Nat League A,Honduras,1538,1792,71,26,16300000.0,79800000.0
2023-11-17,Belize,French Guiana,1,0,CONCACAF Nat League B,Belize,1103,1259,174,150,375000.0,125000.0
2023-11-17,Bermuda,St Vincent & Grenadines,3,1,CONCACAF Nat League B,Bermuda,1174,1030,164,184,375000.0,0.0
2023-11-17,Montserrat,Dominican Republic,2,1,CONCACAF Nat League B,Montserrat,1004,1193,187,162,375000.0,18030000.0
2023-11-17,Denmark,Slovenia,2,1,European Champ qual,Denmark,1878,1705,15,44,368000000.0,143850000.0
2023-11-17,England,Malta,2,0,European Champ qual,England,2030,1249,5,152,1620000000.0,14750000.0
2023-11-17,Finland,Northern Ireland,4,0,European Champ qual,Finland,1641,1438,50,95,41700000.0,79880000.0
2023-11-17,Italy,North Macedonia,5,2,European Champ qual,Italy,1943,1551,12,68,833500000.0,38680000.0
2023-11-17,Kazakhstan,San Marino,3,1,European Champ qual,Kazakhstan,1486,777,86,212,17700000.0,1120000.0
2023-11-17,Moldova,Albania,1,1,European Champ qual,Moldova,1341,1649,123,48,10530000.0,81750000.0
2023-11-17,Poland,Czechia,1,1,European Champ qual,Poland,1707,1753,42,32,214000000.0,179080000.0
2023-11-17,Barbados,Nicaragua,0,4,CONCACAF Nat League B,Barbados,956,1344,192,122,200000.0,2580000.0
2023-11-17,Burkina Faso,Guinea-Bissau,1,1,World Cup qualifier,Morocco,1550,1411,69,101,121230000.0,41400000.0
2023-11-17,Comoros,Central African Republic,4,2,World Cup qualifier,the Comoros,1241,1285,154,144,3280000.0,6980000.0
2023-11-17,Cameroon,Mauritius,3,0,World Cup qualifier,Cameroon,1626,1030,56,184,197400000.0,850000.0
2023-11-17,Zambia,Congo,4,2,World Cup qualifier,Zambia,1522,1267,73,148,14630000.0,2600000.0
2023-11-17,Tunisia,Sao Tome and Principe,4,0,World Cup qualifier,Tunisia,1731,1063,37,180,66550000.0,1430000.0
2023-11-17,Mali,Chad,3,1,World Cup qualifier,Mali,1631,1180,53,163,35700000.0,6100000.0
2023-11-17,Solomon Islands,Samoa,1,0,Pacific Games,the Solomon Islands,1301,676,137,223,450000.0,350000.0
2023-11-17,Liberia,Malawi,0,1,World Cup qualifier,Liberia,1269,1355,147,117,14150000.0,2049999.0
2023-11-17,Ivory Coast,Seychelles,9,0,World Cup qualifier,Ivory Coast,1629,860,55,204,514900000.0,1030000.0
2023-11-17,Guinea,Uganda,2,1,World Cup qualifier,Morocco,1443,1362,92,114,74250000.0,8750000.0
2023-11-17,Ghana,Madagascar,1,0,World Cup qualifier,Ghana,1580,1286,64,143,220780000.0,8230000.0
2023-11-17,Libya,Eswatini,1,0,World Cup qualifier,South Africa,1348,1270,120,146,11430000.0,1080000.0
2023-11-18,Latvia,Croatia,0,2,European Champ qual,Latvia,1349,1950,119,11,17530000.0,357300000.0
2023-11-18,Jamaica,Canada,1,2,CONCACAF Nat League A,Jamaica,1585,1737,63,37,53850000.0,129050000.0
2023-11-18,Antigua and Barbuda,Puerto Rico,2,3,CONCACAF Nat League B,Antigua and Barbuda,1029,1140,185,166,650000.0,1180000.0
2023-11-18,Anguilla,Bonaire,0,3,CONCACAF Nat League C,Anguilla,547,878,236,203,0.0,350000.0
2023-11-18,Armenia,Wales,1,1,European Champ qual,Armenia,1470,1697,89,45,40380000.0,199050000.0
2023-11-18,Belarus,Andorra,1,0,European Champ qual,Hungary,1439,1108,94,172,14000000.0,3340000.0
2023-11-18,France,Gibraltar,14,0,European Champ qual,France,2123,1057,1,181,1470000000.0,1380000.0
2023-11-18,Netherlands,Ireland,1,0,European Champ qual,the Netherlands,1970,1613,9,58,766000000.0,144080000.0
2023-11-18,Senegal,South Sudan,4,0,World Cup qualifier,Senegal,1744,1131,36,170,474000000.0,1600000.0
2023-11-18,Switzerland,Kosovo,1,1,European Champ qual,Switzerland,1815,1530,23,72,317600000.0,114280000.0
2023-11-18,South Africa,Benin,2,1,World Cup qualifier,South Africa,1529,1347,73,121,41150000.0,17080000.0
2023-11-18,Tanzania,Niger,1,0,World Cup qualifier,Morocco,1353,1202,118,159,7530000.0,9980000.0
2023-11-18,Fiji,Northern Mariana Islands,10,0,Pacific Games,the Solomon Islands,1196,404,161,242,2450000.0,0.0
2023-11-18,New Caledonia,Tonga,7,0,Pacific Games,the Solomon Islands,1200,525,160,238,5200000.0,10000.0
2023-11-18,Romania,Israel,2,1,European Champ qual,Hungary,1650,1596,48,61,97200000.0,86900000.0
2023-11-19,Scotland,Norway,3,3,European Champ qual,Scotland,1800,1755,25,31,207830000.0,504000000.0
2023-11-19,Saint Lucia,Sint Maarten,1,2,CONCACAF Nat League B,Saint Lucia,1092,878,175,203,250000.0,325000.0
2023-11-19,Belgium,Azerbaijan,5,0,European Champ qual,Belgium,1990,1497,8,79,558200000.0,16230000.0
2023-11-19,Bosnia and Herzegovina,Slovakia,1,2,European Champ qual,Bosnia and Herzegovina,1485,1661,86,48,133400000.0,130550000.0
2023-11-19,Hungary,Montenegro,3,1,European Champ qual,Hungary,1833,1549,19,69,210800000.0,60130000.0
2023-11-19,Liechtenstein,Luxembourg,0,1,European Champ qual,Liechtenstein,955,1520,192,75,600000.0,32900000.0
2023-11-19,Portugal,Iceland,2,0,European Champ qual,Portugal,2032,1478,4,88,968500000.0,74000000.0
2023-11-19,Serbia,Bulgaria,2,2,European Champ qual,Serbia,1802,1457,24,91,296500000.0,29750000.0
2023-11-19,Guadeloupe,Saint Kitts and Nevis,5,0,CONCACAF Nat League B,Guadeloupe,1326,1078,128,177,12600000.0,575000.0
2023-11-19,Sweden,Estonia,2,0,European Champ qual,Sweden,1691,1365,46,111,435380000.0,7000000.0
2023-11-19,Sudan,DR Congo,1,0,World Cup qualifier,Libya,1321,1497,132,79,3250000.0,153500000.0
2023-11-19,Nigeria,Zimbabwe,1,1,World Cup qualifier,Rwanda,1587,1334,62,127,218080000.0,7100000.0
2023-11-19,Spain,Georgia,3,1,European Champ qual,Spain,2033,1637,3,52,1310000000.0,199050000.0
2023-11-19,Gabon,Burundi,2,1,World Cup qualifier,Tanzania,1439,1287,95,142,34450000.0,12450000.0
2023-11-19,Egypt,Sierra Leone,2,0,World Cup qualifier,Liberia,1684,1311,47,136,108830000.0,13430000.0
2023-11-19,Mozambique,Algeria,0,2,World Cup qualifier,Mozambique,1354,1723,117,39,30100000.0,227850000.0
2023-11-20,Panama,Costa Rica,3,1,CONCACAF Nat League A,Panama,1765,1577,29,64,32400000.0,18700000.0
2023-11-20,Montserrat,Barbados,4,2,CONCACAF Nat League B,Montserrat,1022,938,186,193,375000.0,200000.0
2023-11-20,Aruba,Cayman Islands,5,1,CONCACAF Nat League C,Aruba,1001,800,188,209,125000.0,0.0
2023-11-20,Dominica,Turks and Caicos Islands,2,0,CONCACAF Nat League C,the British VirgIslands,998,701,189,216,0.0,50000.0
2023-11-20,Albania,Faroe Islands,0,0,European Champ qual,Albania,1631,1264,54,148,81750000.0,4950000.0
2023-11-20,Czechia,Moldova,3,0,European Champ qual,Czechia,1756,1338,32,125,179080000.0,10530000.0
2023-11-20,Italy,Ukraine,0,0,European Champ qual,Germany,1937,1850,12,16,833500000.0,288200000.0
2023-11-20,North Macedonia,England,1,1,European Champ qual,North Macedonia,1567,2014,66,6,38680000.0,1620000000.0
2023-11-20,Northern Ireland,Denmark,2,0,European Champ qual,Northern Ireland,1491,1825,83,20,79880000.0,368000000.0
2023-11-20,San Marino,Finland,1,2,European Champ qual,San Marino,777,1641,212,51,1120000.0,41700000.0
2023-11-20,Trinidad and Tobago,United States,2,1,CONCACAF Nat League A,Trinidad and Tobago,1432,1774,98,28,10100000.0,356700000.0
2023-11-20,Guinea-Bissau,Djibouti,1,0,World Cup qualifier,Egypt,1413,911,101,198,41400000.0,575000.0
2023-11-20,Ivory Coast,Gambia,2,0,World Cup qualifier,Tanzania,1642,1396,50,107,514900000.0,72280000.0
2023-11-20,Kenya,Seychelles,5,0,World Cup qualifier,Ivory Coast,1346,855,122,205,10930000.0,1030000.0
2023-11-20,Liberia,Equatorial Guinea,0,1,World Cup qualifier,Liberia,1256,1515,151,77,14150000.0,12050000.0
2023-11-20,Madagascar,Chad,3,0,World Cup qualifier,Morocco,1311,1155,136,164,8230000.0,6100000.0
2023-11-20,Mali,Central African Republic,1,1,World Cup qualifier,Mali,1614,1302,57,139,35700000.0,6980000.0
2023-11-20,Samoa,Eastern Samoa,10,0,Pacific Games,the Solomon Islands,701,446,216,240,350000.0,0.0
2023-11-20,Vanuatu,Tuvalu,6,0,Pacific Games,the Solomon Islands,1117,728,171,214,585000.0,0.0
2023-11-20,Slovenia,Kazakhstan,2,1,European Champ qual,Slovenia,1710,1481,42,87,143850000.0,17700000.0
2023-11-21,Kosovo,Belarus,0,1,European Champ qual,Kosovo,1500,1469,77,89,114280000.0,14000000.0
2023-11-21,Romania,Switzerland,1,0,European Champ qual,Romania,1674,1791,48,26,97200000.0,317600000.0
2023-11-21,Wales,Turkey,1,1,European Champ qual,Wales,1695,1765,45,29,199050000.0,522700000.0
2023-11-21,Australia,Palestine,1,0,World Cup & As Cup q,Kuwait,1784,1409,27,102,51330000.0,7630000.0
2023-11-21,Bahrain,United Arab Emirates,0,2,World Cup & As Cup q,Bahrain,1449,1528,94,72,6230000.0,31130000.0
2023-11-21,Japan,Syria,5,0,World Cup & As Cup q,Saudi Arabia,1905,1426,13,98,263899999.0,7200000.0
2023-11-21,China,South Korea,0,3,World Cup & As Cup q,China,1464,1799,91,24,12480000.0,142200000.0
2023-11-21,Hong Kong,Turkmenistan,2,2,World Cup & As Cup q,Hong Kong,1068,1222,179,158,3600000.0,2950000.0
2023-11-21,India,Qatar,0,3,World Cup & As Cup q,India,1262,1534,151,70,4800000.0,17930000.0
2023-11-21,Greece,France,2,2,European Champ qual,Greece,1728,2109,38,2,315600000.0,1470000000.0
2023-11-21,Jordan,Saudi Arabia,0,2,World Cup & As Cup q,Jordan,1516,1586,75,63,16079999.0,27630000.0
2023-11-21,Bangladesh,Lebanon,1,1,World Cup & As Cup q,Bangladesh,939,1300,194,141,7740000.0,6430000.0
2023-11-21,Gibraltar,Netherlands,0,6,European Champ qual,Portugal,1057,1970,181,10,1380000.0,766000000.0
2023-11-21,Nicaragua,Dominican Republic,0,0,CONCACAF Nat League B,Nicaragua,1332,1205,128,160,2580000.0,18030000.0
2023-11-21,Andorra,Israel,0,2,European Champ qual,Andorra,1102,1602,173,61,3340000.0,86900000.0
2023-11-21,St Vincent & Grenadines,Belize,3,0,CONCACAF Nat League B,Grenada,1072,1061,178,180,0.0,375000.0
2023-11-21,Puerto Rico,Bahamas,6,1,CONCACAF Nat League B,Puerto Rico,1147,816,165,208,1180000.0,0.0
2023-11-21,Guyana,Antigua and Barbuda,6,0,CONCACAF Nat League B,the Dominican Republic,1273,1011,147,186,1500000.0,650000.0
2023-11-21,French Guiana,Bermuda,3,0,CONCACAF Nat League B,Martinique,1286,1147,145,165,125000.0,375000.0
2023-11-21,Mexico,Honduras,2,0,CONCACAF Nat League A,Mexico,1799,1531,24,71,79800000.0,16300000.0
2023-11-21,Canada,Jamaica,2,3,CONCACAF Nat League A,Canada,1705,1617,43,56,129050000.0,53850000.0
2023-11-21,Uruguay,Bolivia,3,0,World Cup qualifier,Uruguay,2006,1611,7,59,362450000.0,19280000.0
2023-11-21,Peru,Venezuela,1,1,World Cup qualifier,Peru,1742,1761,35,31,28900000.0,62780000.0
2023-11-21,Brazil,Argentina,0,1,World Cup qualifier,Brazil,2011,2139,6,1,908700000.0,761200000.0
2023-11-21,Ecuador,Chile,1,0,World Cup qualifier,Ecuador,1883,1700,15,44,366730000.0,72700000.0
2023-11-21,Kuwait,Afghanistan,4,0,World Cup & As Cup q,Saudi Arabia,1370,1077,112,177,4350000.0,325000.0
2023-11-21,Croatia,Armenia,1,0,European Champ qual,Croatia,1951,1469,11,89,357300000.0,40380000.0
2023-11-21,Paraguay,Colombia,0,1,World Cup qualifier,Paraguay,1706,1974,42,9,134450000.0,300500000.0
2023-11-21,Myanmar,North Korea,1,6,World Cup & As Cup q,Myanmar,910,1370,198,112,3130000.0,6850000.0
2023-11-21,Nepal,Yemen,0,2,World Cup & As Cup q,Nepal,902,1104,200,172,1330000.0,1850000.0
2023-11-21,Kyrgyzstan,Oman,1,0,World Cup & As Cup q,Kyrgyzstan,1257,1544,152,69,7580000.0,6100000.0
2023-11-21,Fiji,Tahiti,0,0,Pacific Games,the Solomon Islands,1193,1151,162,164,2450000.0,60000.0
2023-11-21,Cook Islands,Tonga,2,1,Pacific Games,the Solomon Islands,691,513,221,238,0.0,10000.0
2023-11-21,Uganda,Somalia,1,0,World Cup qualifier,Morocco,1365,894,114,201,8750000.0,860000.0
2023-11-21,Togo,Senegal,0,0,World Cup qualifier,Togo,1393,1731,105,37,29680000.0,474000000.0
2023-11-21,Tanzania,Morocco,0,2,World Cup qualifier,Tanzania,1347,1846,119,17,7530000.0,456000000.0
2023-11-21,Rwanda,South Africa,2,0,World Cup qualifier,Rwanda,1304,1486,136,84,6800000.0,41150000.0
2023-11-21,Niger,Zambia,2,1,World Cup qualifier,Morocco,1237,1487,157,83,9980000.0,14630000.0
2023-11-21,Namibia,Sao Tome and Principe,2,0,World Cup qualifier,Morocco,1377,1054,110,182,2080000.0,1430000.0
2023-11-21,Mauritius,Angola,0,0,World Cup qualifier,Mauritius,1043,1384,184,108,850000.0,52200000.0
2023-11-21,Mauritania,South Sudan,0,0,World Cup qualifier,Senegal,1389,1144,107,167,23600000.0,1600000.0
2023-11-21,Libya,Cameroon,1,1,World Cup qualifier,Libya,1357,1617,116,56,11430000.0,197400000.0
2023-11-21,Pakistan,Tajikistan,1,6,World Cup & As Cup q,Pakistan,831,1375,207,111,3440000.0,7700000.0
2023-11-21,Malawi,Tunisia,0,1,World Cup qualifier,Malawi,1348,1738,118,36,2049999.0,66550000.0
2023-11-21,Philippines,Indonesia,1,1,World Cup & As Cup q,the Philippines,1053,1285,183,146,6430000.0,30580000.0
2023-11-21,Singapore,Thailand,1,3,World Cup & As Cup q,Singapore,1118,1384,170,108,4380000.0,6380000.0
2023-11-21,Uzbekistan,Iran,2,2,World Cup & As Cup q,Uzbekistan,1640,1827,52,20,79280000.0,34680000.0
2023-11-21,Taiwan,Malaysia,0,1,World Cup & As Cup q,Taiwan,925,1302,196,138,1920000.0,7130000.0
2023-11-21,Benin,Lesotho,0,0,World Cup qualifier,South Africa,1341,1241,124,156,17080000.0,675000.0
2023-11-21,Botswana,Guinea,1,0,World Cup qualifier,Botswana,1343,1422,123,100,3080000.0,74250000.0
2023-11-21,Burkina Faso,Ethiopia,3,0,World Cup qualifier,Morocco,1564,1299,66,142,121230000.0,2780000.0
2023-11-21,Cape Verde,Eswatini,2,0,World Cup qualifier,South Africa,1479,1255,87,154,53430000.0,1080000.0
2023-11-21,Comoros,Ghana,1,0,World Cup qualifier,the Comoros,1273,1548,147,68,3280000.0,220780000.0
2023-11-21,Vietnam,Iraq,0,1,World Cup & As Cup q,Vietnam,1393,1621,105,55,6380000.0,19780000.0
2023-11-23,Solomon Islands,Eastern Samoa,11,0,Pacific Games,the Solomon Islands,1301,446,140,240,450000.0,0.0
2023-11-23,Papua New Guinea,Vanuatu,1,1,Pacific Games,the Solomon Islands,1135,1118,169,170,0.0,585000.0
2023-11-24,New Caledonia,Cook Islands,8,0,Pacific Games,the Solomon Islands,1205,686,160,222,5200000.0,0.0
2023-11-24,Tahiti,Northern Mariana Islands,5,0,Pacific Games,the Solomon Islands,1152,403,164,242,60000.0,0.0
2023-11-27,Tahiti,Samoa,2,1,Pacific Games,the Solomon Islands,1155,698,163,219,60000.0,350000.0
2023-11-27,Northern Mariana Islands,Eastern Samoa,4,0,Pacific Games,the Solomon Islands,445,404,240,242,0.0,0.0
2023-11-27,Tuvalu,Tonga,4,0,Pacific Games,the Solomon Islands,745,496,214,238,0.0,10000.0
2023-11-28,Solomon Islands,Fiji,2,0,Pacific Games,the Solomon Islands,1315,1179,134,162,450000.0,2450000.0
2023-11-28,New Caledonia,Vanuatu,1,0,Pacific Games,the Solomon Islands,1220,1103,159,172,5200000.0,585000.0
2023-11-30,Tonga,Eastern Samoa,6,2,Pacific Games,the Solomon Islands,524,376,238,243,10000.0,0.0
2023-11-30,Tahiti,Papua New Guinea,2,0,Pacific Games,the Solomon Islands,1183,1107,162,170,60000.0,0.0
2023-12-01,Fiji,Vanuatu,4,2,Pacific Games,the Solomon Islands,1203,1079,162,175,2450000.0,585000.0
2023-12-02,Solomon Islands,New Caledonia,2,2,Pacific Games,the Solomon Islands,1305,1230,136,158,450000.0,5200000.0
2024-01-12,Qatar,Lebanon,3,0,Asian Cup,Qatar,1533,1297,70,142,17930000.0,6430000.0
2024-01-13,Syria,Uzbekistan,0,0,Asian Cup,Qatar,1432,1633,96,53,7200000.0,79280000.0
2024-01-13,China,Tajikistan,0,0,Asian Cup,Qatar,1430,1382,98,111,12480000.0,7700000.0
2024-01-13,Australia,India,2,0,Asian Cup,Qatar,1791,1259,26,152,51330000.0,4800000.0
2024-01-13,Ivory Coast,Guinea-Bissau,2,0,African Nations Cup,Ivory Coast,1654,1398,50,104,514900000.0,41400000.0
2024-01-14,Japan,Vietnam,4,2,Asian Cup,Qatar,1913,1376,13,113,263899999.0,6380000.0
2024-01-14,Cape Verde,Ghana,2,1,African Nations Cup,Ivory Coast,1505,1511,77,75,53430000.0,220780000.0
2024-01-14,Egypt,Mozambique,2,2,African Nations Cup,Ivory Coast,1668,1381,48,112,108830000.0,30100000.0
2024-01-14,United Arab Emirates,Hong Kong,3,1,Asian Cup,Qatar,1524,1075,72,178,31130000.0,3600000.0
2024-01-14,Iran,Palestine,4,1,Asian Cup,Qatar,1837,1403,18,103,34680000.0,7630000.0
2024-01-14,Equatorial Guinea,Nigeria,1,1,African Nations Cup,Ivory Coast,1509,1561,76,67,12050000.0,218080000.0
2024-01-15,Cameroon,Guinea,1,1,African Nations Cup,Ivory Coast,1602,1455,60,93,197400000.0,74250000.0
2024-01-15,South Korea,Bahrain,3,1,Asian Cup,Qatar,1812,1417,22,101,142200000.0,6230000.0
2024-01-15,Jordan,Malaysia,4,0,Asian Cup,Qatar,1535,1283,69,145,16079999.0,7130000.0
2024-01-15,Iraq,Indonesia,3,1,Asian Cup,Qatar,1625,1253,55,154,19780000.0,30580000.0
2024-01-15,Senegal,Gambia,3,0,African Nations Cup,Ivory Coast,1743,1385,35,108,474000000.0,72280000.0
2024-01-15,Algeria,Angola,1,1,African Nations Cup,Ivory Coast,1715,1425,39,99,227850000.0,52200000.0
2024-01-16,Burkina Faso,Mauritania,1,0,African Nations Cup,Ivory Coast,1584,1384,63,110,121230000.0,23600000.0
2024-01-16,Mali,South Africa,2,0,African Nations Cup,Ivory Coast,1643,1455,51,92,35700000.0,41150000.0
2024-01-16,Namibia,Tunisia,1,0,African Nations Cup,Ivory Coast,1428,1689,99,46,2080000.0,66550000.0
2024-01-16,Saudi Arabia,Oman,2,1,Asian Cup,Qatar,1610,1544,59,68,27630000.0,6100000.0
2024-01-16,Thailand,Kyrgyzstan,2,0,Asian Cup,Qatar,1409,1245,103,155,6380000.0,7580000.0
2024-01-17,Qatar,Tajikistan,1,0,Asian Cup,Qatar,1543,1372,69,113,17930000.0,7700000.0
2024-01-17,China,Lebanon,0,0,Asian Cup,Qatar,1421,1306,101,136,12480000.0,6430000.0
2024-01-17,Morocco,Tanzania,3,0,African Nations Cup,Ivory Coast,1852,1342,16,123,456000000.0,7530000.0
2024-01-17,DR Congo,Zambia,1,1,African Nations Cup,Ivory Coast,1486,1491,84,82,153500000.0,14630000.0
2024-01-18,Uzbekistan,India,3,0,Asian Cup,Qatar,1642,1250,51,153,79280000.0,4800000.0
2024-01-18,Palestine,United Arab Emirates,1,1,Asian Cup,Qatar,1411,1516,103,75,7630000.0,31130000.0
2024-01-18,Australia,Syria,1,0,Asian Cup,Qatar,1797,1426,25,98,51330000.0,7200000.0
2024-01-18,Ivory Coast,Nigeria,0,1,African Nations Cup,Ivory Coast,1616,1599,57,63,514900000.0,218080000.0
2024-01-18,Equatorial Guinea,Guinea-Bissau,4,2,African Nations Cup,Ivory Coast,1535,1372,70,112,12050000.0,41400000.0
2024-01-18,Egypt,Ghana,2,2,African Nations Cup,Ivory Coast,1657,1522,49,73,108830000.0,220780000.0
2024-01-19,Cape Verde,Mozambique,3,0,African Nations Cup,Ivory Coast,1534,1352,72,115,53430000.0,30100000.0
2024-01-19,Guinea,Gambia,1,0,African Nations Cup,Ivory Coast,1475,1365,88,113,74250000.0,72280000.0
2024-01-19,Senegal,Cameroon,3,1,African Nations Cup,Ivory Coast,1766,1579,29,64,474000000.0,197400000.0
2024-01-19,Iran,Hong Kong,1,0,Asian Cup,Qatar,1838,1074,18,178,34680000.0,3600000.0
2024-01-19,Iraq,Japan,2,1,Asian Cup,Qatar,1667,1871,48,15,19780000.0,263899999.0
2024-01-19,Indonesia,Vietnam,1,0,Asian Cup,Qatar,1286,1343,143,121,30580000.0,6380000.0
2024-01-20,Jordan,South Korea,2,2,Asian Cup,Qatar,1552,1795,67,25,16079999.0,142200000.0
2024-01-20,Bahrain,Malaysia,1,0,Asian Cup,Qatar,1433,1267,97,148,6230000.0,7130000.0
2024-01-20,Mali,Tunisia,1,1,African Nations Cup,Ivory Coast,1646,1686,51,46,35700000.0,66550000.0
2024-01-20,Angola,Mauritania,3,2,African Nations Cup,Ivory Coast,1447,1362,94,113,52200000.0,23600000.0
2024-01-20,Algeria,Burkina Faso,2,2,African Nations Cup,Ivory Coast,1706,1593,40,63,227850000.0,121230000.0
2024-01-21,DR Congo,Morocco,1,1,African Nations Cup,Ivory Coast,1506,1832,78,20,153500000.0,456000000.0
2024-01-21,South Africa,Namibia,4,0,African Nations Cup,Ivory Coast,1498,1385,81,107,41150000.0,2080000.0
2024-01-21,Saudi Arabia,Kyrgyzstan,2,0,Asian Cup,Qatar,1618,1237,56,156,27630000.0,7580000.0
2024-01-21,Oman,Thailand,0,0,Asian Cup,Qatar,1535,1418,70,102,6100000.0,6380000.0
2024-01-21,Tanzania,Zambia,1,1,African Nations Cup,Ivory Coast,1352,1481,115,87,7530000.0,14630000.0
2024-01-22,Tajikistan,Lebanon,2,1,Asian Cup,Qatar,1392,1286,106,142,7700000.0,6430000.0
2024-01-22,Qatar,China,1,0,Asian Cup,Qatar,1554,1410,67,103,17930000.0,12480000.0
2024-01-22,Nigeria,Guinea-Bissau,1,0,African Nations Cup,Ivory Coast,1610,1361,59,115,218080000.0,41400000.0
2024-01-22,Ivory Coast,Equatorial Guinea,0,4,African Nations Cup,Ivory Coast,1547,1604,70,61,514900000.0,12050000.0
2024-01-22,Ghana,Mozambique,2,2,African Nations Cup,Ivory Coast,1511,1363,77,112,220780000.0,30100000.0
2024-01-22,Cape Verde,Egypt,2,2,African Nations Cup,Ivory Coast,1542,1649,71,50,53430000.0,108830000.0
2024-01-23,Angola,Burkina Faso,2,0,African Nations Cup,Ivory Coast,1499,1541,81,71,52200000.0,121230000.0
2024-01-23,Cameroon,Gambia,3,2,African Nations Cup,Ivory Coast,1590,1354,63,115,197400000.0,72280000.0
2024-01-23,Mauritania,Algeria,1,0,African Nations Cup,Ivory Coast,1406,1662,105,48,23600000.0,227850000.0
2024-01-23,Senegal,Guinea,2,0,African Nations Cup,Ivory Coast,1778,1463,28,92,474000000.0,74250000.0
2024-01-23,Australia,Uzbekistan,1,1,Asian Cup,Qatar,1787,1652,27,50,51330000.0,79280000.0
2024-01-23,Palestine,Hong Kong,3,0,Asian Cup,Qatar,1422,1063,101,179,7630000.0,3600000.0
2024-01-23,Syria,India,1,0,Asian Cup,Qatar,1439,1237,96,155,7200000.0,4800000.0
2024-01-23,Iran,United Arab Emirates,2,1,Asian Cup,Qatar,1845,1509,17,77,34680000.0,31130000.0
2024-01-24,Japan,Indonesia,3,1,Asian Cup,Qatar,1873,1284,15,144,263899999.0,30580000.0
2024-01-24,Iraq,Vietnam,3,2,Asian Cup,Qatar,1674,1336,45,126,19780000.0,6380000.0
2024-01-24,South Africa,Tunisia,0,0,African Nations Cup,Ivory Coast,1510,1674,77,45,41150000.0,66550000.0
2024-01-24,Morocco,Zambia,1,0,African Nations Cup,Ivory Coast,1838,1475,18,89,456000000.0,14630000.0
2024-01-24,Mali,Namibia,0,0,African Nations Cup,Ivory Coast,1630,1401,55,106,35700000.0,2080000.0
2024-01-24,DR Congo,Tanzania,0,0,African Nations Cup,Ivory Coast,1496,1362,83,113,153500000.0,7530000.0
2024-01-25,Bahrain,Jordan,1,0,Asian Cup,Qatar,1466,1519,92,73,6230000.0,16079999.0
2024-01-25,Kyrgyzstan,Oman,1,1,Asian Cup,Qatar,1254,1518,153,74,7580000.0,6100000.0
2024-01-25,Saudi Arabia,Thailand,0,0,Asian Cup,Qatar,1605,1431,60,100,27630000.0,6380000.0
2024-01-25,Malaysia,South Korea,3,3,Asian Cup,Qatar,1290,1772,141,28,7130000.0,142200000.0
2024-01-27,Nigeria,Cameroon,2,0,African Nations Cup,Ivory Coast,1645,1555,52,65,218080000.0,197400000.0
2024-01-27,Angola,Namibia,3,0,African Nations Cup,Ivory Coast,1531,1369,71,111,52200000.0,2080000.0
2024-01-28,Tajikistan,United Arab Emirates,1,1,Asian Cup,Qatar,1400,1501,106,81,7700000.0,31130000.0
2024-01-28,Australia,Indonesia,4,0,Asian Cup,Qatar,1792,1279,25,146,51330000.0,30580000.0
2024-01-28,Guinea,Equatorial Guinea,1,0,African Nations Cup,Ivory Coast,1498,1569,83,63,74250000.0,12050000.0
2024-01-28,DR Congo,Egypt,1,1,African Nations Cup,Ivory Coast,1506,1639,79,53,153500000.0,108830000.0
2024-01-29,Qatar,Palestine,2,1,Asian Cup,Qatar,1564,1412,65,102,17930000.0,7630000.0
2024-01-29,Jordan,Iraq,3,2,Asian Cup,Qatar,1554,1639,69,52,16079999.0,19780000.0
2024-01-29,Ivory Coast,Senegal,1,1,African Nations Cup,Ivory Coast,1556,1769,67,28,514900000.0,474000000.0
